Pixel-X	Pixel-Y	Longitude	Latitude	radiance_1	radiance_2	radiance_3	radiance_4	radiance_5	radiance_6	radiance_7	radiance_8	radiance_9	radiance_10	radiance_11	radiance_12	radiance_13	radiance_14	radiance_15	l1_flags	detector_index	latitude	longitude	dem_alt	dem_rough	lat_corr	lon_corr	sun_zenith	sun_azimuth	view_zenith	view_azimuth	zonal_wind	merid_wind	atm_press	ozone	rel_hum
250.5	575.5	7.9456024	54.150196	55.086716	49.46522	38.112446	33.45525	23.108776	14.337405	11.306171	10.365329	8.529731	6.4291587	2.262602	5.485246	3.394396	3.1312065	2.291696	0	763	54.150196	7.9456024	-34.242188	0.0	0.0	0.0	64.19979	158.32169	24.818445	102.8721	-3.7585938	5.1273446	1019.4312	277.9019	72.025
251.5	575.5	7.9611225	54.14812	55.010914	49.33798	37.869175	33.294662	22.968836	14.280087	11.251387	10.330639	8.479259	6.4031644	2.289221	5.467083	3.383733	3.100688	2.3134181	0	762	54.14812	7.9611225	-33.597656	0.0	0.0	0.0	64.194496	158.33797	24.746582	102.88468	-3.7644532	5.108204	1019.4437	277.89813	71.97813
252.5	575.5	7.9766436	54.146046	54.925644	49.327377	37.98502	33.391014	23.024813	14.239147	11.196602	10.26126	8.409861	6.342512	2.262602	5.412594	3.351744	3.076273	2.2754042	0	761	54.146046	7.9766436	-32.953125	0.0	0.0	0.0	64.1892	158.35426	24.674719	102.89726	-3.7703125	5.089063	1019.45624	277.8944	71.93125
252.5	576.5	7.9726233	54.135773	55.001442	49.36979	38.286213	33.637245	23.267376	14.394722	11.292475	10.337577	8.498186	6.368506	2.280348	5.4416547	3.351744	3.076273	2.2971265	0	761	54.135773	7.9726233	-33.75	0.0	0.0	0.0	64.18037	158.3489	24.674772	102.89571	-3.775	5.075	1019.45	277.8975	71.875
253.5	576.5	7.9881396	54.133694	54.849842	49.4016	38.30938	33.7443	23.34201	14.3455925	11.265082	10.330639	8.416169	6.325183	2.271475	5.3944306	3.3339722	3.0701692	2.280835	0	760	54.133694	7.9881396	-33.0625	0.0	0.0	0.0	64.17507	158.36519	24.60291	102.908295	-3.78125	5.05625	1019.4625	277.89313	71.83125
254.5	576.5	8.003656	54.13162	54.84037	49.316772	38.263042	33.722893	23.397985	14.370157	11.271931	10.344515	8.441405	6.3078537	2.262602	5.383533	3.301983	3.057962	2.2699738	0	759	54.13162	8.003656	-32.375	0.0	0.0	0.0	64.16978	158.38147	24.531046	102.92087	-3.7875	5.0375	1019.475	277.88876	71.787506
255.5	577.5	8.015165	54.119267	54.906693	49.412205	38.344135	33.82995	23.593903	14.419286	11.299323	10.358391	8.46664	6.325183	2.244856	5.390798	3.3197548	3.0457544	2.2591126	2	758	54.119267	8.015165	-31.203125	0.0	0.0	0.0	64.15565	158.3924	24.459236	102.93191	-3.7941406	4.9996095	1019.48126	277.88727	71.66719
256.5	577.5	8.030679	54.117188	54.906693	49.412205	38.344135	33.82995	23.593903	14.419286	11.299323	10.358391	8.46664	6.325183	2.244856	5.390798	3.3197548	3.0457544	2.2591126	0	758	54.117188	8.030679	-30.5625	0.0	0.0	0.0	64.15035	158.40869	24.387373	102.94448	-3.8	4.98125	1019.4938	277.8825	71.62501
257.5	578.5	8.0421505	54.104805	54.82142	49.444016	38.541065	33.979828	23.649878	14.460227	11.319867	10.358391	8.491877	6.325183	2.244856	5.4089613	3.3339722	3.057962	2.280835	0	757	54.104805	8.0421505	-29.835938	0.0	0.0	0.0	64.13622	158.4196	24.314484	102.955475	-3.7875	4.932031	1019.4937	277.91776	71.40938
258.5	578.5	8.057634	54.102695	54.859318	49.444016	38.564236	34.033356	23.715183	14.484791	11.3472595	10.372267	8.479259	6.3338475	2.253729	5.4089613	3.3268635	3.0518582	2.264543	0	756	54.102695	8.057634	-29.546875	0.0	0.0	0.0	64.13094	158.43587	24.241539	102.96802	-3.775	4.9015627	1019.5	277.95047	71.26875
259.5	578.5	8.073118	54.10059	54.774044	49.36979	38.564236	34.09759	23.715183	14.427474	11.313019	10.316763	8.428787	6.2905245	2.262602	5.372635	3.3126462	3.0274434	2.2754042	0	755	54.10059	8.073118	-29.257812	0.0	0.0	0.0	64.125656	158.45213	24.168592	102.98056	-3.7625	4.8710938	1019.5062	277.98322	71.12813
