#HUE ANGLE [mod (360)];dominant wavelength [nm]
0.12;610
0.68;609
1.28;608
1.90;607
2.57;606
3.29;605
4.05;604
4.87;603
5.73;602
6.64;601
7.60;600
8.60;599
9.66;598
10.77;597
11.94;596
13.19;595
14.52;594
15.93;593
17.41;592
18.97;591
20.61;590
22.31;589
24.08;588
25.92;587
27.83;586
29.80;585
31.85;584
33.95;583
36.10;582
38.30;581
40.55;580
42.82;579
45.13;578
47.45;577
49.78;576
52.11;575
54.42;574
56.72;573
58.99;572
61.23;571
63.43;570
65.57;569
67.67;568
69.71;567
71.69;566
73.60;565
75.45;564
77.24;563
78.96;562
80.62;561
82.22;560
83.75;559
85.22;558
86.63;557
87.99;556
89.29;555
90.53;554
91.73;553
92.88;552
93.99;551
95.05;550
96.07;549
97.05;548
98.00;547
98.92;546
99.80;545
100.66;544
101.49;543
102.29;542
103.08;541
103.84;540
104.58;539
105.30;538
106.01;537
106.71;536
107.39;535
108.07;534
108.74;533
109.40;532
110.05;531
110.70;530
111.36;529
112.01;528
112.66;527
113.32;526
113.97;525
114.63;524
115.29;523
115.96;522
116.65;521
117.36;520
118.12;519
118.91;518
119.75;517
120.65;516
121.60;515
122.62;514
123.71;513
124.88;512
126.13;511
127.46;510
128.89;509
130.42;508
132.06;507
133.81;506
135.70;505
137.73;504
139.92;503
142.31;502
144.91;501
147.76;500
150.85;499
154.18;498
157.76;497
161.58;496
165.63;495
169.88;494
174.27;493
178.73;492
183.19;491
187.58;490
191.82;489
195.86;488
199.69;487
203.27;486
206.61;485
209.70;484
212.55;483
215.14;482
217.50;481
219.65;480
221.60;479
223.38;478
224.99;477
226.44;476
227.77;475
228.96;474
230.05;473
231.04;472
231.95;471
232.79;470
233.56;469
234.26;468
234.91;467
235.49;466
236.01;465
236.48;464
236.92;463
237.32;462
237.69;461
238.05;460
238.39;459
238.71;458
239.01;457
239.31;456
239.58;455
239.84;454
240.09;453
240.32;452
240.54;451
240.76;450
