band	switch_water	lower_water upper_water	    switch_land     lower_land	upper_land	lam_theo 	E0_theo
1   1   1   2   1   1   2   412.5   1713.692017
2   1   1   3   1   1   3   442.5   1877.56604
3   1   2   4   1   2   4   490     1929.26294
4   1   3   5   1   3   5   510     1926.890991
5   1   4   6   1   4   6   560     1800.458008
6   1   5   7   1   5   7   620     1649.704956
7   1   6   9   1   6   9   665     1530.927002
8   0   7   9   1   7   8   681.25  1470.229004
9   1   8   9   1   9   10  708.75  1405.473999
10  1   10  12  1   10  12  753.75  1266.199951
11  0   10  12  0   10  12  761.875 1253.004028
12  1   10  12  1   10  12  778.75  1175.737061
13  1   13  14  1   13  14  865     958.7630005
14  1   13  14  1   13  14  885     929.7860107
15  0   13  14  0   13  14  900     895.460022

