band	switch_water	lower_water     upper_water	    switch_land	lower_land	upper_land  lam_theo  E0
1   1   1   2   1   1   2   400.30316  1513.6257
2   1   1   3   1   1   3   411.84534  1708.0474
3   1   2   4   1   2   4   442.96260  1889.9923
4   1   3   5   1   3   5   490.49300  1936.2612
5   1   4   6   1   4   6   510.46756  1919.6490
6   1   5   7   1   5   7   560.45026  1796.8542
7   1   6   8   1   6   8   620.40924  1649.1400
8   1   7   9   1   7   9   665.27440  1530.1553
9   1   8   9   1   8   10  674.02515  1494.7185
10  0   0   0   1   9   11  681.57050  1468.8616
11  1   11  12  1   10  12  709.11487  1403.1105
12  1   11  12  1   11  12  754.18134  1266.3196
13  0   0   0   0   0   0   761.72614  1247.4586
14  0   0   0   0   0   0   764.82465  1238.9945
15  0   0   0   0   0   0   767.91750  1229.7690
16  1   16  17  1   16  17  779.25670  1173.4987
17  1   16  18  1   16  18  865.42970  959.71075
18  1   17  18  1   17  18  884.30835  930.86300
19  0   0   0   0   0   0   899.31085  895.76700
20  0   0   0   0   0   0   938.97310  826.40735
21  1   18  21  1   18  21  1015.7992  699.70306
